Team,League,Year,RS,RA,W,OBP,SLG,BA,Playoffs,RankSeason,RankPlayoffs,G,OOBP,OSLG,RDPG,WPG
ARI,NL,2012,734,688,81,0.328,0.418,0.259,0,,,162,0.317,0.415,0.284,0.5
ATL,NL,2012,700,600,94,0.32,0.389,0.247,1,4,5,162,0.306,0.378,0.617,0.58
BAL,AL,2012,712,705,93,0.311,0.417,0.247,1,5,4,162,0.315,0.403,0.043,0.574
BOS,AL,2012,734,806,69,0.315,0.415,0.26,0,,,162,0.331,0.428,-0.444,0.426
CHC,NL,2012,613,759,61,0.302,0.378,0.24,0,,,162,0.335,0.424,-0.901,0.377
CHW,AL,2012,748,676,85,0.318,0.422,0.255,0,,,162,0.319,0.405,0.444,0.525
CIN,NL,2012,669,588,97,0.315,0.411,0.251,1,2,4,162,0.305,0.39,0.5,0.599
CLE,AL,2012,667,845,68,0.324,0.381,0.251,0,,,162,0.336,0.43,-1.099,0.42
COL,NL,2012,758,890,64,0.33,0.436,0.274,0,,,162,0.357,0.47,-0.815,0.395
DET,AL,2012,726,670,88,0.335,0.422,0.268,1,6,2,162,0.314,0.402,0.346,0.543
HOU,NL,2012,583,794,55,0.302,0.371,0.236,0,,,162,0.337,0.427,-1.302,0.34
KCR,AL,2012,676,746,72,0.317,0.4,0.265,0,,,162,0.339,0.423,-0.432,0.444
LAA,AL,2012,767,699,89,0.332,0.433,0.274,0,,,162,0.31,0.403,0.42,0.549
LAD,NL,2012,637,597,86,0.317,0.374,0.252,0,,,162,0.31,0.364,0.247,0.531
MIA,NL,2012,609,724,69,0.308,0.382,0.244,0,,,162,0.327,0.399,-0.71,0.426
MIL,NL,2012,776,733,83,0.325,0.437,0.259,0,,,162,0.326,0.414,0.265,0.512
MIN,AL,2012,701,832,66,0.325,0.39,0.26,0,,,162,0.333,0.442,-0.809,0.407
NYM,NL,2012,650,709,74,0.316,0.386,0.249,0,,,162,0.315,0.401,-0.364,0.457
NYY,AL,2012,804,668,95,0.337,0.453,0.265,1,3,3,162,0.311,0.419,0.84,0.586
OAK,AL,2012,713,614,94,0.31,0.404,0.238,1,4,4,162,0.306,0.378,0.611,0.58
PHI,NL,2012,684,680,81,0.317,0.4,0.255,0,,,162,0.306,0.407,0.025,0.5
PIT,NL,2012,651,674,79,0.304,0.395,0.243,0,,,162,0.314,0.39,-0.142,0.488
SDP,NL,2012,651,710,76,0.319,0.38,0.247,0,,,162,0.319,0.398,-0.364,0.469
SEA,AL,2012,619,651,75,0.296,0.369,0.234,0,,,162,0.308,0.394,-0.198,0.463
SFG,NL,2012,718,649,94,0.327,0.397,0.269,1,4,1,162,0.313,0.393,0.426,0.58
STL,NL,2012,765,648,88,0.338,0.421,0.271,1,6,3,162,0.313,0.387,0.722,0.543
TBR,AL,2012,697,577,90,0.317,0.394,0.24,0,,,162,0.294,0.352,0.741,0.556
TEX,AL,2012,808,707,93,0.334,0.446,0.273,1,5,5,162,0.309,0.408,0.623,0.574
TOR,AL,2012,716,784,73,0.309,0.407,0.245,0,,,162,0.335,0.438,-0.42,0.451
WSN,NL,2012,731,594,98,0.322,0.428,0.261,1,1,4,162,0.303,0.373,0.846,0.605
ARI,NL,2011,731,662,94,0.322,0.413,0.25,1,5,4,162,0.316,0.409,0.426,0.58
ATL,NL,2011,641,605,89,0.308,0.387,0.243,0,,,162,0.31,0.361,0.222,0.549
BAL,AL,2011,708,860,69,0.316,0.413,0.257,0,,,162,0.341,0.46,-0.938,0.426
BOS,AL,2011,875,737,90,0.349,0.461,0.28,0,,,162,0.322,0.392,0.852,0.556
CHC,NL,2011,654,756,71,0.314,0.401,0.256,0,,,162,0.335,0.413,-0.63,0.438
CHW,AL,2011,654,706,79,0.319,0.388,0.252,0,,,162,0.317,0.397,-0.321,0.488
CIN,NL,2011,735,720,79,0.326,0.408,0.256,0,,,162,0.325,0.415,0.093,0.488
CLE,AL,2011,704,760,80,0.317,0.396,0.25,0,,,162,0.323,0.413,-0.346,0.494
COL,NL,2011,735,774,73,0.329,0.41,0.258,0,,,162,0.331,0.431,-0.241,0.451
DET,AL,2011,787,711,95,0.34,0.434,0.277,1,4,3,162,0.321,0.396,0.469,0.586
FLA,NL,2011,625,702,72,0.318,0.388,0.247,0,,,162,0.316,0.401,-0.475,0.444
HOU,NL,2011,615,796,56,0.311,0.374,0.258,0,,,162,0.337,0.432,-1.117,0.346
KCR,AL,2011,730,762,71,0.329,0.415,0.275,0,,,162,0.337,0.425,-0.198,0.438
LAA,AL,2011,667,633,86,0.313,0.402,0.253,0,,,162,0.313,0.388,0.21,0.531
LAD,NL,2011,644,612,82,0.322,0.375,0.257,0,,,161,0.31,0.371,0.199,0.509
MIL,NL,2011,721,638,96,0.325,0.425,0.261,1,3,3,162,0.304,0.385,0.512,0.593
MIN,AL,2011,619,804,63,0.306,0.36,0.247,0,,,162,0.34,0.435,-1.142,0.389
NYM,NL,2011,718,742,77,0.335,0.391,0.264,0,,,162,0.332,0.411,-0.148,0.475
NYY,AL,2011,867,657,97,0.343,0.444,0.263,1,2,4,162,0.322,0.399,1.296,0.599
OAK,AL,2011,645,679,74,0.311,0.369,0.244,0,,,162,0.317,0.378,-0.21,0.457
PHI,NL,2011,713,529,102,0.323,0.395,0.253,1,1,4,162,0.296,0.361,1.136,0.63
PIT,NL,2011,610,712,72,0.309,0.368,0.244,0,,,162,0.338,0.409,-0.63,0.444
SDP,NL,2011,593,611,71,0.305,0.349,0.237,0,,,162,0.314,0.375,-0.111,0.438
SEA,AL,2011,556,675,67,0.292,0.348,0.233,0,,,162,0.31,0.386,-0.735,0.414
SFG,NL,2011,570,578,86,0.303,0.368,0.242,0,,,162,0.309,0.346,-0.049,0.531
STL,NL,2011,762,692,90,0.341,0.425,0.273,1,7,1,162,0.319,0.398,0.432,0.556
TBR,AL,2011,707,614,91,0.322,0.402,0.244,1,6,4,162,0.303,0.383,0.574,0.562
TEX,AL,2011,855,677,96,0.34,0.46,0.283,1,3,2,162,0.307,0.392,1.099,0.593
TOR,AL,2011,743,761,81,0.317,0.413,0.249,0,,,162,0.328,0.419,-0.111,0.5
WSN,NL,2011,624,643,80,0.309,0.383,0.242,0,,,161,0.319,0.382,-0.118,0.497
ARI,NL,2010,713,836,65,0.325,0.416,0.25,0,,,162,0.34,0.448,-0.759,0.401
ATL,NL,2010,738,629,91,0.339,0.401,0.258,1,6,4,162,0.314,0.376,0.673,0.562
BAL,AL,2010,613,785,66,0.316,0.386,0.259,0,,,162,0.336,0.434,-1.062,0.407
BOS,AL,2010,818,744,89,0.339,0.451,0.268,0,,,162,0.327,0.399,0.457,0.549
CHC,NL,2010,685,767,75,0.32,0.401,0.257,0,,,162,0.334,0.398,-0.506,0.463
CHW,AL,2010,752,704,88,0.332,0.42,0.268,0,,,162,0.325,0.395,0.296,0.543
CIN,NL,2010,790,685,91,0.338,0.436,0.272,1,6,4,162,0.323,0.396,0.648,0.562
CLE,AL,2010,646,752,69,0.322,0.378,0.248,0,,,162,0.342,0.416,-0.654,0.426
COL,NL,2010,770,717,83,0.336,0.425,0.263,0,,,162,0.326,0.397,0.327,0.512
DET,AL,2010,751,743,81,0.335,0.415,0.268,0,,,162,0.332,0.4,0.049,0.5
FLA,NL,2010,719,717,80,0.321,0.403,0.254,0,,,162,0.331,0.398,0.012,0.494
HOU,NL,2010,611,729,76,0.303,0.362,0.247,0,,,162,0.33,0.402,-0.728,0.469
KCR,AL,2010,676,845,67,0.331,0.399,0.274,0,,,162,0.342,0.435,-1.043,0.414
LAA,AL,2010,681,702,80,0.311,0.39,0.248,0,,,162,0.327,0.403,-0.13,0.494
LAD,NL,2010,667,692,80,0.322,0.379,0.252,0,,,162,0.316,0.378,-0.154,0.494
MIL,NL,2010,750,804,77,0.335,0.424,0.262,0,,,162,0.338,0.427,-0.333,0.475
MIN,AL,2010,781,671,94,0.341,0.422,0.273,1,4,4,162,0.317,0.417,0.679,0.58
NYM,NL,2010,656,652,79,0.314,0.383,0.249,0,,,162,0.33,0.394,0.025,0.488
NYY,AL,2010,859,693,95,0.35,0.436,0.267,1,3,3,162,0.322,0.399,1.025,0.586
OAK,AL,2010,663,626,81,0.324,0.378,0.256,0,,,162,0.313,0.379,0.228,0.5
PHI,NL,2010,772,640,97,0.332,0.413,0.26,1,1,3,162,0.311,0.405,0.815,0.599
PIT,NL,2010,587,866,57,0.304,0.373,0.242,0,,,162,0.348,0.449,-1.722,0.352
SDP,NL,2010,665,581,90,0.317,0.371,0.246,0,,,162,0.308,0.368,0.519,0.556
SEA,AL,2010,513,698,61,0.298,0.339,0.236,0,,,162,0.313,0.401,-1.142,0.377
SFG,NL,2010,697,583,92,0.321,0.408,0.257,1,5,1,162,0.313,0.37,0.704,0.568
STL,NL,2010,736,641,86,0.332,0.402,0.263,0,,,162,0.319,0.387,0.586,0.531
TBR,AL,2010,802,649,96,0.333,0.403,0.247,1,2,4,162,0.308,0.404,0.944,0.593
TEX,AL,2010,787,687,90,0.338,0.419,0.276,1,7,2,162,0.319,0.39,0.617,0.556
TOR,AL,2010,755,728,85,0.312,0.454,0.248,0,,,162,0.326,0.405,0.167,0.525
WSN,NL,2010,655,742,69,0.318,0.39,0.25,0,,,162,0.33,0.41,-0.537,0.426
ARI,NL,2009,720,782,70,0.324,0.418,0.253,0,,,162,0.33,0.419,-0.383,0.432
ATL,NL,2009,735,641,86,0.339,0.405,0.263,0,,,162,0.323,0.39,0.58,0.531
BAL,AL,2009,741,876,64,0.332,0.415,0.268,0,,,162,0.353,0.476,-0.833,0.395
BOS,AL,2009,872,736,95,0.352,0.454,0.27,1,3,4,162,0.335,0.422,0.84,0.586
CHC,NL,2009,707,672,83,0.332,0.407,0.255,0,,,161,0.324,0.391,0.217,0.516
CHW,AL,2009,724,732,79,0.329,0.411,0.258,0,,,162,0.325,0.414,-0.049,0.488
CIN,NL,2009,673,723,78,0.318,0.394,0.247,0,,,162,0.333,0.418,-0.309,0.481
CLE,AL,2009,773,865,65,0.339,0.417,0.264,0,,,162,0.351,0.443,-0.568,0.401
COL,NL,2009,804,715,92,0.343,0.441,0.261,1,5,4,162,0.328,0.405,0.549,0.568
DET,AL,2009,743,745,86,0.331,0.416,0.26,0,,,163,0.336,0.422,-0.012,0.528
FLA,NL,2009,772,766,87,0.34,0.416,0.268,0,,,162,0.333,0.408,0.037,0.537
HOU,NL,2009,643,770,74,0.319,0.4,0.26,0,,,162,0.344,0.44,-0.784,0.457
KCR,AL,2009,686,842,65,0.318,0.405,0.259,0,,,162,0.343,0.422,-0.963,0.401
LAA,AL,2009,883,761,97,0.35,0.441,0.285,1,2,3,162,0.338,0.432,0.753,0.599
LAD,NL,2009,780,611,95,0.346,0.412,0.27,1,3,3,162,0.312,0.361,1.043,0.586
MIL,NL,2009,785,818,80,0.341,0.426,0.263,0,,,162,0.345,0.45,-0.204,0.494
MIN,AL,2009,817,765,87,0.345,0.429,0.274,1,7,4,163,0.331,0.431,0.319,0.534
NYM,NL,2009,671,757,70,0.335,0.394,0.27,0,,,162,0.342,0.418,-0.531,0.432
NYY,AL,2009,915,753,103,0.362,0.478,0.283,1,1,1,162,0.327,0.408,1,0.636
OAK,AL,2009,759,761,75,0.328,0.397,0.262,0,,,162,0.329,0.413,-0.012,0.463
PHI,NL,2009,820,709,93,0.334,0.447,0.258,1,4,2,162,0.329,0.427,0.685,0.574
PIT,NL,2009,636,768,62,0.318,0.387,0.252,0,,,161,0.346,0.442,-0.82,0.385
SDP,NL,2009,638,769,75,0.321,0.381,0.242,0,,,162,0.333,0.406,-0.809,0.463
SEA,AL,2009,640,692,85,0.314,0.402,0.258,0,,,162,0.316,0.394,-0.321,0.525
SFG,NL,2009,657,611,88,0.309,0.389,0.257,0,,,162,0.314,0.372,0.284,0.543
STL,NL,2009,730,640,91,0.332,0.415,0.263,1,6,4,162,0.319,0.386,0.556,0.562
TBR,AL,2009,803,754,84,0.343,0.439,0.263,0,,,162,0.324,0.417,0.302,0.519
TEX,AL,2009,784,740,87,0.32,0.445,0.26,0,,,162,0.331,0.416,0.272,0.537
TOR,AL,2009,798,771,75,0.333,0.44,0.266,0,,,162,0.339,0.434,0.167,0.463
WSN,NL,2009,710,874,59,0.337,0.406,0.258,0,,,162,0.352,0.45,-1.012,0.364
ARI,NL,2008,720,706,82,0.327,0.415,0.251,0,,,162,0.318,0.398,0.086,0.506
ATL,NL,2008,753,778,72,0.345,0.408,0.27,0,,,162,0.336,0.423,-0.154,0.444
BAL,AL,2008,782,869,68,0.333,0.429,0.267,0,,,161,0.361,0.435,-0.54,0.422
BOS,AL,2008,845,694,95,0.358,0.447,0.28,1,3,3,162,0.323,0.39,0.932,0.586
CHC,NL,2008,855,671,97,0.354,0.443,0.278,1,2,4,161,0.316,0.395,1.143,0.602
CHW,AL,2008,811,729,89,0.332,0.448,0.263,1,6,4,163,0.32,0.41,0.503,0.546
CIN,NL,2008,704,800,74,0.321,0.408,0.247,0,,,162,0.345,0.45,-0.593,0.457
CLE,AL,2008,805,761,81,0.339,0.424,0.262,0,,,162,0.33,0.424,0.272,0.5
COL,NL,2008,747,822,74,0.336,0.415,0.263,0,,,162,0.344,0.431,-0.463,0.457
DET,AL,2008,821,857,74,0.34,0.444,0.271,0,,,162,0.353,0.437,-0.222,0.457
FLA,NL,2008,770,767,84,0.326,0.433,0.254,0,,,161,0.333,0.407,0.019,0.522
HOU,NL,2008,712,743,86,0.323,0.415,0.263,0,,,161,0.328,0.44,-0.193,0.534
KCR,AL,2008,691,781,75,0.32,0.397,0.269,0,,,162,0.328,0.415,-0.556,0.463
LAA,AL,2008,765,697,100,0.33,0.413,0.268,1,1,4,162,0.323,0.406,0.42,0.617
LAD,NL,2008,700,648,84,0.333,0.399,0.264,1,7,3,162,0.315,0.376,0.321,0.519
MIL,NL,2008,750,689,90,0.325,0.431,0.253,1,5,4,162,0.323,0.406,0.377,0.556
MIN,AL,2008,829,745,88,0.34,0.408,0.279,0,,,163,0.324,0.431,0.515,0.54
NYM,NL,2008,799,715,89,0.34,0.42,0.266,0,,,162,0.331,0.397,0.519,0.549
NYY,AL,2008,789,727,89,0.342,0.427,0.271,0,,,162,0.329,0.405,0.383,0.549
OAK,AL,2008,646,690,75,0.318,0.369,0.242,0,,,161,0.328,0.392,-0.273,0.466
PHI,NL,2008,799,680,92,0.332,0.438,0.255,1,4,1,162,0.329,0.41,0.735,0.568
PIT,NL,2008,735,884,67,0.32,0.403,0.258,0,,,162,0.362,0.454,-0.92,0.414
SDP,NL,2008,637,764,63,0.317,0.39,0.25,0,,,162,0.332,0.409,-0.784,0.389
SEA,AL,2008,671,811,61,0.318,0.389,0.265,0,,,162,0.351,0.433,-0.864,0.377
SFG,NL,2008,640,759,72,0.321,0.382,0.262,0,,,162,0.341,0.404,-0.735,0.444
STL,NL,2008,779,725,86,0.35,0.433,0.281,0,,,162,0.332,0.431,0.333,0.531
TBR,AL,2008,774,671,97,0.34,0.422,0.26,1,2,2,162,0.314,0.4,0.636,0.599
TEX,AL,2008,901,967,79,0.354,0.462,0.283,0,,,162,0.362,0.455,-0.407,0.488
TOR,AL,2008,714,610,86,0.331,0.399,0.264,0,,,162,0.309,0.38,0.642,0.531
WSN,NL,2008,641,825,59,0.323,0.373,0.251,0,,,161,0.343,0.436,-1.143,0.366
ARI,NL,2007,712,732,90,0.321,0.413,0.25,1,3,3,162,0.334,0.42,-0.123,0.556
ATL,NL,2007,810,733,84,0.339,0.435,0.275,0,,,162,0.327,0.415,0.475,0.519
BAL,AL,2007,756,868,69,0.333,0.412,0.272,0,,,162,0.354,0.412,-0.691,0.426
BOS,AL,2007,867,657,96,0.362,0.444,0.279,1,1,1,162,0.314,0.392,1.296,0.593
CHC,NL,2007,752,690,85,0.333,0.422,0.271,1,5,4,162,0.322,0.399,0.383,0.525
CHW,AL,2007,693,839,72,0.318,0.404,0.246,0,,,162,0.338,0.435,-0.901,0.444
CIN,NL,2007,783,853,72,0.335,0.436,0.267,0,,,162,0.343,0.456,-0.432,0.444
CLE,AL,2007,811,704,96,0.343,0.428,0.268,1,1,3,162,0.322,0.407,0.66,0.593
COL,NL,2007,860,758,90,0.354,0.437,0.28,1,3,2,163,0.33,0.423,0.626,0.552
DET,AL,2007,887,797,88,0.345,0.458,0.287,0,,,162,0.338,0.427,0.556,0.543
FLA,NL,2007,790,891,71,0.336,0.448,0.267,0,,,162,0.364,0.442,-0.623,0.438
HOU,NL,2007,723,813,73,0.33,0.412,0.26,0,,,162,0.337,0.454,-0.556,0.451
KCR,AL,2007,706,778,69,0.322,0.388,0.261,0,,,162,0.339,0.445,-0.444,0.426
LAA,AL,2007,822,731,94,0.345,0.417,0.284,1,2,4,162,0.328,0.412,0.562,0.58
LAD,NL,2007,735,727,82,0.337,0.406,0.275,0,,,162,0.326,0.399,0.049,0.506
MIL,NL,2007,801,776,83,0.329,0.456,0.262,0,,,162,0.333,0.422,0.154,0.512
MIN,AL,2007,718,725,79,0.33,0.391,0.264,0,,,162,0.324,0.431,-0.043,0.488
NYM,NL,2007,804,750,88,0.342,0.432,0.275,0,,,162,0.329,0.409,0.333,0.543
NYY,AL,2007,968,777,94,0.366,0.463,0.29,1,2,4,162,0.34,0.417,1.179,0.58
OAK,AL,2007,741,758,76,0.338,0.407,0.256,0,,,162,0.329,0.404,-0.105,0.469
PHI,NL,2007,892,821,89,0.354,0.458,0.274,1,4,4,162,0.346,0.451,0.438,0.549
PIT,NL,2007,724,846,68,0.325,0.411,0.263,0,,,162,0.352,0.447,-0.753,0.42
SDP,NL,2007,741,666,89,0.322,0.411,0.251,0,,,163,0.311,0.374,0.46,0.546
SEA,AL,2007,794,813,88,0.337,0.425,0.287,0,,,162,0.349,0.431,-0.117,0.543
SFG,NL,2007,683,720,71,0.322,0.387,0.254,0,,,162,0.334,0.405,-0.228,0.438
STL,NL,2007,725,829,78,0.337,0.405,0.274,0,,,162,0.336,0.431,-0.642,0.481
TBD,AL,2007,782,944,66,0.336,0.433,0.268,0,,,162,0.358,0.467,-1,0.407
TEX,AL,2007,816,844,75,0.328,0.426,0.263,0,,,162,0.356,0.423,-0.173,0.463
TOR,AL,2007,753,699,83,0.327,0.419,0.259,0,,,162,0.315,0.391,0.333,0.512
WSN,NL,2007,673,783,73,0.325,0.39,0.256,0,,,162,0.339,0.433,-0.679,0.451
ARI,NL,2006,773,788,76,0.331,0.424,0.267,0,,,162,0.335,0.431,-0.093,0.469
ATL,NL,2006,849,805,79,0.337,0.455,0.27,0,,,162,0.343,0.438,0.272,0.488
BAL,AL,2006,768,899,70,0.339,0.424,0.277,0,,,162,0.357,0.462,-0.809,0.432
BOS,AL,2006,820,825,86,0.351,0.435,0.269,0,,,162,0.343,0.447,-0.031,0.531
CHC,NL,2006,716,834,66,0.319,0.422,0.268,0,,,162,0.342,0.431,-0.728,0.407
CHW,AL,2006,868,794,90,0.342,0.464,0.28,0,,,162,0.326,0.44,0.457,0.556
CIN,NL,2006,749,801,80,0.336,0.432,0.257,0,,,162,0.337,0.457,-0.321,0.494
CLE,AL,2006,870,782,78,0.349,0.457,0.28,0,,,162,0.335,0.431,0.543,0.481
COL,NL,2006,813,812,76,0.341,0.433,0.27,0,,,162,0.346,0.438,0.006,0.469
DET,AL,2006,822,675,95,0.329,0.449,0.274,1,3,2,162,0.321,0.405,0.907,0.586
FLA,NL,2006,758,772,78,0.331,0.435,0.264,0,,,162,0.347,0.423,-0.086,0.481
HOU,NL,2006,735,719,82,0.332,0.409,0.255,0,,,162,0.319,0.421,0.099,0.506
KCR,AL,2006,757,971,62,0.332,0.411,0.271,0,,,162,0.367,0.476,-1.321,0.383
LAA,AL,2006,766,732,89,0.334,0.425,0.274,0,,,162,0.316,0.402,0.21,0.549
LAD,NL,2006,820,751,88,0.348,0.432,0.276,1,5,4,162,0.33,0.418,0.426,0.543
MIL,NL,2006,730,833,75,0.327,0.42,0.258,0,,,162,0.333,0.438,-0.636,0.463
MIN,AL,2006,801,683,96,0.347,0.425,0.287,1,2,4,162,0.312,0.423,0.728,0.593
NYM,NL,2006,834,731,97,0.334,0.445,0.264,1,1,3,162,0.323,0.407,0.636,0.599
NYY,AL,2006,930,767,97,0.363,0.461,0.285,1,1,4,162,0.326,0.413,1.006,0.599
OAK,AL,2006,771,727,93,0.34,0.412,0.26,1,4,3,162,0.338,0.422,0.272,0.574
PHI,NL,2006,865,812,85,0.347,0.447,0.267,0,,,162,0.339,0.46,0.327,0.525
PIT,NL,2006,691,797,67,0.327,0.397,0.263,0,,,162,0.357,0.431,-0.654,0.414
SDP,NL,2006,731,679,88,0.332,0.416,0.263,1,5,4,162,0.312,0.404,0.321,0.543
SEA,AL,2006,756,792,78,0.325,0.424,0.272,0,,,162,0.337,0.432,-0.222,0.481
SFG,NL,2006,746,790,76,0.324,0.422,0.259,0,,,161,0.337,0.415,-0.273,0.472
STL,NL,2006,781,762,83,0.337,0.431,0.269,1,6,1,161,0.337,0.443,0.118,0.516
TBD,AL,2006,689,856,61,0.314,0.42,0.255,0,,,162,0.358,0.452,-1.031,0.377
TEX,AL,2006,835,784,80,0.338,0.446,0.278,0,,,162,0.341,0.424,0.315,0.494
TOR,AL,2006,809,754,87,0.348,0.463,0.284,0,,,162,0.328,0.422,0.34,0.537
WSN,NL,2006,746,872,71,0.338,0.418,0.262,0,,,162,0.349,0.447,-0.778,0.438
ARI,NL,2005,696,856,77,0.332,0.421,0.256,0,,,162,0.345,0.455,-0.988,0.475
ATL,NL,2005,769,674,90,0.333,0.435,0.265,1,4,4,162,0.333,0.406,0.586,0.556
BAL,AL,2005,729,800,74,0.327,0.434,0.269,0,,,162,0.336,0.416,-0.438,0.457
BOS,AL,2005,910,805,95,0.357,0.454,0.281,1,3,4,162,0.335,0.441,0.648,0.586
CHC,NL,2005,703,714,79,0.324,0.44,0.27,0,,,162,0.325,0.407,-0.068,0.488
CHW,AL,2005,741,645,99,0.322,0.425,0.262,1,2,1,162,0.31,0.397,0.593,0.611
CIN,NL,2005,820,889,73,0.339,0.446,0.261,0,,,163,0.352,0.483,-0.423,0.448
CLE,AL,2005,790,642,93,0.334,0.453,0.271,0,,,162,0.302,0.387,0.914,0.574
COL,NL,2005,740,862,67,0.333,0.411,0.267,0,,,162,0.362,0.457,-0.753,0.414
DET,AL,2005,723,787,71,0.321,0.428,0.272,0,,,162,0.33,0.436,-0.395,0.438
FLA,NL,2005,717,732,83,0.339,0.409,0.272,0,,,162,0.339,0.402,-0.093,0.512
HOU,NL,2005,693,609,89,0.322,0.408,0.256,1,5,2,163,0.308,0.389,0.515,0.546
KCR,AL,2005,701,935,56,0.32,0.396,0.263,0,,,162,0.362,0.463,-1.444,0.346
