Team,League,Year,RS,RA,W,OBP,SLG,BA,Playoffs,RankSeason,RankPlayoffs,G,OOBP,OSLG,RDPG,WPG
SEA,AL,1986,718,835,67,0.326,0.399,0.253,0,,,162,,,-0.722,0.414
SFG,NL,1986,698,618,83,0.322,0.375,0.253,0,,,162,,,0.494,0.512
STL,NL,1986,601,611,79,0.309,0.327,0.236,0,,,161,,,-0.062,0.491
TEX,AL,1986,771,743,87,0.331,0.428,0.267,0,,,162,,,0.173,0.537
TOR,AL,1986,809,733,86,0.329,0.427,0.269,0,,,163,,,0.466,0.528
ATL,NL,1985,632,781,66,0.315,0.363,0.246,0,,,162,,,-0.92,0.407
BAL,AL,1985,818,764,83,0.336,0.43,0.263,0,,,161,,,0.335,0.516
BOS,AL,1985,800,720,81,0.347,0.429,0.282,0,,,163,,,0.491,0.497
CAL,AL,1985,732,703,90,0.333,0.386,0.251,0,,,162,,,0.179,0.556
CHC,NL,1985,686,729,77,0.324,0.39,0.254,0,,,162,,,-0.265,0.475
CHW,AL,1985,736,720,85,0.315,0.392,0.253,0,,,163,,,0.098,0.521
CIN,NL,1985,677,666,89,0.327,0.376,0.255,0,,,162,,,0.068,0.549
CLE,AL,1985,729,861,60,0.324,0.385,0.265,0,,,162,,,-0.815,0.37
DET,AL,1985,729,688,84,0.318,0.424,0.253,0,,,161,,,0.255,0.522
HOU,NL,1985,706,691,83,0.319,0.388,0.261,0,,,162,,,0.093,0.512
KCR,AL,1985,687,639,91,0.313,0.401,0.252,1,4,1,162,,,0.296,0.562
LAD,NL,1985,682,579,95,0.328,0.382,0.261,1,3,3,162,,,0.636,0.586
MIL,AL,1985,690,802,71,0.319,0.379,0.263,0,,,161,,,-0.696,0.441
MIN,AL,1985,705,782,77,0.326,0.407,0.264,0,,,162,,,-0.475,0.475
MON,NL,1985,633,636,84,0.31,0.375,0.247,0,,,161,,,-0.019,0.522
NYM,NL,1985,695,568,98,0.323,0.385,0.257,0,,,162,,,0.784,0.605
NYY,AL,1985,839,660,97,0.344,0.425,0.267,0,,,161,,,1.112,0.602
OAK,AL,1985,757,787,77,0.325,0.401,0.264,0,,,162,,,-0.185,0.475
PHI,NL,1985,667,673,75,0.312,0.383,0.245,0,,,162,,,-0.037,0.463
PIT,NL,1985,568,708,57,0.311,0.347,0.247,0,,,161,,,-0.87,0.354
SDP,NL,1985,650,622,83,0.32,0.368,0.255,0,,,162,,,0.173,0.512
SEA,AL,1985,719,818,74,0.326,0.412,0.255,0,,,162,,,-0.611,0.457
SFG,NL,1985,556,674,62,0.299,0.348,0.233,0,,,162,,,-0.728,0.383
STL,NL,1985,747,572,101,0.335,0.379,0.264,1,1,2,162,,,1.08,0.623
TEX,AL,1985,617,785,62,0.322,0.381,0.253,0,,,161,,,-1.043,0.385
TOR,AL,1985,759,588,99,0.331,0.425,0.269,1,2,3,161,,,1.062,0.615
ATL,NL,1984,632,655,80,0.317,0.361,0.247,0,,,162,,,-0.142,0.494
BAL,AL,1984,681,667,85,0.328,0.391,0.252,0,,,162,,,0.086,0.525
BOS,AL,1984,810,764,86,0.341,0.441,0.283,0,,,162,,,0.284,0.531
CAL,AL,1984,696,697,81,0.319,0.381,0.249,0,,,162,,,-0.006,0.5
CHC,NL,1984,762,658,96,0.331,0.397,0.26,1,2,3,161,,,0.646,0.596
CHW,AL,1984,679,736,74,0.314,0.395,0.247,0,,,162,,,-0.352,0.457
CIN,NL,1984,627,747,70,0.313,0.356,0.244,0,,,162,,,-0.741,0.432
CLE,AL,1984,761,766,75,0.335,0.384,0.265,0,,,163,,,-0.031,0.46
DET,AL,1984,829,643,104,0.342,0.432,0.271,1,1,1,162,,,1.148,0.642
HOU,NL,1984,693,630,80,0.323,0.371,0.264,0,,,162,,,0.389,0.494
KCR,AL,1984,673,686,84,0.317,0.399,0.268,1,4,3,162,,,-0.08,0.519
LAD,NL,1984,580,600,79,0.306,0.348,0.244,0,,,162,,,-0.123,0.488
MIL,AL,1984,641,734,67,0.317,0.37,0.262,0,,,161,,,-0.578,0.416
MIN,AL,1984,673,675,81,0.318,0.385,0.265,0,,,162,,,-0.012,0.5
MON,NL,1984,593,585,78,0.312,0.362,0.251,0,,,161,,,0.05,0.484
NYM,NL,1984,652,676,90,0.32,0.369,0.257,0,,,162,,,-0.148,0.556
NYY,AL,1984,758,679,87,0.339,0.404,0.276,0,,,162,,,0.488,0.537
OAK,AL,1984,738,796,77,0.327,0.404,0.259,0,,,162,,,-0.358,0.475
PHI,NL,1984,720,690,81,0.333,0.407,0.266,0,,,162,,,0.185,0.5
PIT,NL,1984,615,567,75,0.31,0.363,0.255,0,,,162,,,0.296,0.463
SDP,NL,1984,686,634,92,0.317,0.371,0.259,1,3,2,162,,,0.321,0.568
SEA,AL,1984,682,774,74,0.324,0.384,0.258,0,,,162,,,-0.568,0.457
SFG,NL,1984,682,807,66,0.328,0.375,0.265,0,,,162,,,-0.772,0.407
STL,NL,1984,652,645,84,0.317,0.351,0.252,0,,,162,,,0.043,0.519
TEX,AL,1984,656,714,69,0.313,0.377,0.261,0,,,161,,,-0.36,0.429
TOR,AL,1984,750,696,89,0.331,0.421,0.273,0,,,163,,,0.331,0.546
ATL,NL,1983,746,640,88,0.341,0.4,0.272,0,,,162,,,0.654,0.543
BAL,AL,1983,799,652,98,0.34,0.421,0.269,1,2,1,162,,,0.907,0.605
BOS,AL,1983,724,775,78,0.335,0.409,0.27,0,,,162,,,-0.315,0.481
CAL,AL,1983,722,779,70,0.322,0.393,0.26,0,,,162,,,-0.352,0.432
CHC,NL,1983,701,719,71,0.319,0.401,0.261,0,,,162,,,-0.111,0.438
CHW,AL,1983,800,650,99,0.329,0.413,0.262,1,1,3,162,,,0.926,0.611
CIN,NL,1983,623,710,74,0.314,0.356,0.239,0,,,162,,,-0.537,0.457
CLE,AL,1983,704,785,70,0.338,0.369,0.265,0,,,162,,,-0.5,0.432
DET,AL,1983,789,679,92,0.335,0.427,0.274,0,,,162,,,0.679,0.568
HOU,NL,1983,643,646,85,0.32,0.375,0.257,0,,,162,,,-0.019,0.525
KCR,AL,1983,696,767,79,0.32,0.397,0.271,0,,,163,,,-0.436,0.485
LAD,NL,1983,654,609,91,0.318,0.379,0.25,1,3,3,163,,,0.276,0.558
MIL,AL,1983,764,708,87,0.333,0.418,0.277,0,,,162,,,0.346,0.537
MIN,AL,1983,709,822,70,0.319,0.401,0.261,0,,,162,,,-0.698,0.432
MON,NL,1983,677,646,82,0.326,0.386,0.264,0,,,163,,,0.19,0.503
NYM,NL,1983,575,680,68,0.3,0.344,0.241,0,,,162,,,-0.648,0.42
NYY,AL,1983,770,703,91,0.337,0.416,0.273,0,,,162,,,0.414,0.562
OAK,AL,1983,708,782,74,0.326,0.381,0.262,0,,,162,,,-0.457,0.457
PHI,NL,1983,696,635,90,0.329,0.373,0.249,1,4,2,163,,,0.374,0.552
PIT,NL,1983,659,648,84,0.325,0.383,0.264,0,,,162,,,0.068,0.519
SDP,NL,1983,653,653,81,0.311,0.351,0.25,0,,,163,,,0,0.497
SEA,AL,1983,558,740,60,0.301,0.36,0.24,0,,,162,,,-1.123,0.37
SFG,NL,1983,687,697,79,0.325,0.375,0.247,0,,,162,,,-0.062,0.488
STL,NL,1983,679,710,79,0.335,0.384,0.27,0,,,162,,,-0.191,0.488
TEX,AL,1983,639,609,77,0.31,0.366,0.255,0,,,163,,,0.184,0.472
TOR,AL,1983,795,726,89,0.338,0.436,0.277,0,,,162,,,0.426,0.549
ATL,NL,1982,739,702,89,0.325,0.383,0.256,1,4,3,162,,,0.228,0.549
BAL,AL,1982,774,687,94,0.341,0.419,0.266,0,,,163,,,0.534,0.577
BOS,AL,1982,753,713,89,0.34,0.407,0.274,0,,,162,,,0.247,0.549
CAL,AL,1982,814,670,93,0.347,0.433,0.274,1,2,3,162,,,0.889,0.574
CHC,NL,1982,676,709,73,0.317,0.375,0.26,0,,,162,,,-0.204,0.451
CHW,AL,1982,786,710,87,0.337,0.413,0.273,0,,,162,,,0.469,0.537
CIN,NL,1982,545,661,61,0.31,0.35,0.251,0,,,162,,,-0.716,0.377
CLE,AL,1982,683,748,78,0.341,0.373,0.262,0,,,162,,,-0.401,0.481
DET,AL,1982,729,685,83,0.324,0.418,0.266,0,,,162,,,0.272,0.512
HOU,NL,1982,569,620,77,0.302,0.349,0.247,0,,,162,,,-0.315,0.475
KCR,AL,1982,784,717,90,0.337,0.428,0.285,0,,,162,,,0.414,0.556
LAD,NL,1982,691,612,88,0.327,0.388,0.264,0,,,162,,,0.488,0.543
MIL,AL,1982,891,717,95,0.335,0.455,0.279,1,1,2,163,,,1.067,0.583
MIN,AL,1982,657,819,60,0.316,0.396,0.257,0,,,162,,,-1,0.37
MON,NL,1982,697,616,86,0.325,0.396,0.262,0,,,162,,,0.5,0.531
NYM,NL,1982,609,723,65,0.305,0.35,0.247,0,,,162,,,-0.704,0.401
NYY,AL,1982,709,716,79,0.328,0.398,0.256,0,,,162,,,-0.043,0.488
OAK,AL,1982,691,819,68,0.309,0.367,0.236,0,,,162,,,-0.79,0.42
PHI,NL,1982,664,654,89,0.323,0.376,0.26,0,,,162,,,0.062,0.549
PIT,NL,1982,724,696,84,0.327,0.408,0.273,0,,,162,,,0.173,0.519
SDP,NL,1982,675,658,81,0.311,0.359,0.257,0,,,162,,,0.105,0.5
SEA,AL,1982,651,712,76,0.311,0.381,0.254,0,,,162,,,-0.377,0.469
SFG,NL,1982,673,687,87,0.327,0.376,0.253,0,,,162,,,-0.086,0.537
STL,NL,1982,685,609,92,0.334,0.364,0.264,1,3,1,162,,,0.469,0.568
TEX,AL,1982,590,749,64,0.308,0.359,0.249,0,,,162,,,-0.981,0.395
TOR,AL,1982,651,701,78,0.314,0.383,0.262,0,,,162,,,-0.309,0.481
ATL,NL,1980,630,660,81,0.307,0.38,0.25,0,,,161,,,-0.186,0.503
BAL,AL,1980,805,640,100,0.342,0.413,0.273,0,,,162,,,1.019,0.617
BOS,AL,1980,757,767,83,0.34,0.436,0.283,0,,,160,,,-0.063,0.519
CAL,AL,1980,698,797,65,0.332,0.378,0.265,0,,,160,,,-0.619,0.406
CHC,NL,1980,614,728,64,0.309,0.365,0.251,0,,,162,,,-0.704,0.395
CHW,AL,1980,587,722,70,0.311,0.37,0.259,0,,,162,,,-0.833,0.432
CIN,NL,1980,707,670,89,0.327,0.386,0.262,0,,,163,,,0.227,0.546
CLE,AL,1980,738,807,79,0.35,0.381,0.277,0,,,160,,,-0.431,0.494
DET,AL,1980,830,757,84,0.348,0.409,0.273,0,,,163,,,0.448,0.515
HOU,NL,1980,637,589,93,0.326,0.367,0.261,1,3,3,163,,,0.294,0.571
KCR,AL,1980,809,694,97,0.345,0.413,0.286,1,2,2,162,,,0.71,0.599
LAD,NL,1980,663,591,92,0.323,0.388,0.263,0,,,163,,,0.442,0.564
MIL,AL,1980,811,682,86,0.329,0.448,0.275,0,,,162,,,0.796,0.531
MIN,AL,1980,670,724,77,0.319,0.381,0.265,0,,,161,,,-0.335,0.478
MON,NL,1980,694,629,90,0.324,0.388,0.257,0,,,162,,,0.401,0.556
NYM,NL,1980,611,702,67,0.319,0.345,0.257,0,,,162,,,-0.562,0.414
NYY,AL,1980,820,662,103,0.343,0.425,0.267,1,1,3,162,,,0.975,0.636
OAK,AL,1980,686,642,83,0.322,0.385,0.259,0,,,162,,,0.272,0.512
PHI,NL,1980,728,639,91,0.327,0.4,0.27,1,4,1,162,,,0.549,0.562
PIT,NL,1980,666,646,83,0.322,0.388,0.266,0,,,162,,,0.123,0.512
SDP,NL,1980,591,654,73,0.324,0.342,0.255,0,,,163,,,-0.387,0.448
SEA,AL,1980,610,793,59,0.308,0.356,0.248,0,,,163,,,-1.123,0.362
SFG,NL,1980,573,634,75,0.308,0.342,0.244,0,,,161,,,-0.379,0.466
STL,NL,1980,738,710,74,0.328,0.4,0.275,0,,,162,,,0.173,0.457
TEX,AL,1980,756,752,76,0.339,0.405,0.284,0,,,163,,,0.025,0.466
TOR,AL,1980,624,762,67,0.309,0.383,0.251,0,,,162,,,-0.852,0.414
ATL,NL,1979,669,763,66,0.318,0.377,0.256,0,,,160,,,-0.588,0.413
BAL,AL,1979,757,582,102,0.336,0.419,0.261,1,1,2,159,,,1.101,0.642
BOS,AL,1979,841,711,91,0.344,0.456,0.283,0,,,160,,,0.813,0.569
CAL,AL,1979,866,768,88,0.351,0.429,0.282,1,4,3,162,,,0.605,0.543
CHC,NL,1979,706,707,80,0.329,0.403,0.269,0,,,162,,,-0.006,0.494
CHW,AL,1979,730,748,73,0.333,0.41,0.275,0,,,160,,,-0.113,0.456
CIN,NL,1979,731,644,90,0.338,0.396,0.264,1,3,3,161,,,0.54,0.559
CLE,AL,1979,760,805,81,0.34,0.384,0.258,0,,,161,,,-0.28,0.503
DET,AL,1979,770,738,84,0.339,0.415,0.269,0,,,161,,,0.199,0.522
HOU,NL,1979,583,582,89,0.315,0.344,0.256,0,,,162,,,0.006,0.549
KCR,AL,1979,851,816,85,0.343,0.422,0.282,0,,,162,,,0.216,0.525
LAD,NL,1979,739,717,79,0.331,0.412,0.263,0,,,162,,,0.136,0.488
MIL,AL,1979,807,722,95,0.345,0.448,0.28,0,,,161,,,0.528,0.59
MIN,AL,1979,764,725,82,0.341,0.402,0.278,0,,,162,,,0.241,0.506
MON,NL,1979,701,581,95,0.319,0.408,0.264,0,,,160,,,0.75,0.594
NYM,NL,1979,593,706,63,0.313,0.35,0.25,0,,,163,,,-0.693,0.387
NYY,AL,1979,734,672,89,0.328,0.406,0.266,0,,,160,,,0.388,0.556
OAK,AL,1979,573,860,54,0.302,0.346,0.239,0,,,162,,,-1.772,0.333
PHI,NL,1979,683,718,84,0.34,0.396,0.266,0,,,163,,,-0.215,0.515
PIT,NL,1979,775,643,98,0.33,0.416,0.272,1,2,1,163,,,0.81,0.601
SDP,NL,1979,603,681,68,0.311,0.348,0.242,0,,,161,,,-0.484,0.422
SEA,AL,1979,711,820,67,0.331,0.404,0.269,0,,,162,,,-0.673,0.414
SFG,NL,1979,672,751,71,0.319,0.365,0.246,0,,,162,,,-0.488,0.438
STL,NL,1979,731,693,86,0.331,0.401,0.278,0,,,163,,,0.233,0.528
TEX,AL,1979,750,698,83,0.334,0.409,0.278,0,,,162,,,0.321,0.512
TOR,AL,1979,613,862,53,0.311,0.363,0.251,0,,,162,,,-1.537,0.327
ATL,NL,1978,600,750,69,0.315,0.363,0.244,0,,,162,,,-0.926,0.426
BAL,AL,1978,659,633,90,0.326,0.396,0.258,0,,,161,,,0.161,0.559
BOS,AL,1978,796,657,99,0.336,0.424,0.267,0,,,163,,,0.853,0.607
CAL,AL,1978,691,666,87,0.33,0.37,0.259,0,,,162,,,0.154,0.537
CHC,NL,1978,664,724,79,0.331,0.361,0.264,0,,,162,,,-0.37,0.488
CHW,AL,1978,634,731,71,0.317,0.379,0.264,0,,,161,,,-0.602,0.441
CIN,NL,1978,710,688,92,0.334,0.393,0.256,0,,,161,,,0.137,0.571
CLE,AL,1978,639,694,69,0.323,0.379,0.261,0,,,159,,,-0.346,0.434
DET,AL,1978,714,653,86,0.339,0.392,0.271,0,,,162,,,0.377,0.531
HOU,NL,1978,605,634,74,0.313,0.355,0.258,0,,,162,,,-0.179,0.457
KCR,AL,1978,743,634,92,0.329,0.399,0.268,1,3,3,162,,,0.673,0.568
LAD,NL,1978,727,573,95,0.338,0.402,0.264,1,2,2,162,,,0.951,0.586
MIL,AL,1978,804,650,93,0.339,0.432,0.276,0,,,162,,,0.951,0.574
MIN,AL,1978,666,678,73,0.339,0.375,0.267,0,,,162,,,-0.074,0.451
MON,NL,1978,633,611,76,0.306,0.379,0.254,0,,,162,,,0.136,0.469
NYM,NL,1978,607,690,66,0.314,0.352,0.245,0,,,162,,,-0.512,0.407
NYY,AL,1978,735,582,100,0.329,0.388,0.267,1,1,1,163,,,0.939,0.613
OAK,AL,1978,532,690,69,0.303,0.351,0.245,0,,,162,,,-0.975,0.426
PHI,NL,1978,708,586,90,0.328,0.388,0.258,1,4,3,162,,,0.753,0.556
PIT,NL,1978,684,637,88,0.32,0.385,0.257,0,,,161,,,0.292,0.547
SDP,NL,1978,591,598,84,0.321,0.348,0.252,0,,,162,,,-0.043,0.519
SEA,AL,1978,614,834,56,0.314,0.359,0.248,0,,,160,,,-1.375,0.35
SFG,NL,1978,613,594,89,0.318,0.374,0.248,0,,,162,,,0.117,0.549
STL,NL,1978,600,657,69,0.303,0.358,0.249,0,,,162,,,-0.352,0.426
TEX,AL,1978,692,632,87,0.332,0.381,0.253,0,,,162,,,0.37,0.537
TOR,AL,1978,590,775,59,0.308,0.359,0.25,0,,,161,,,-1.149,0.366
ATL,NL,1977,678,895,61,0.32,0.376,0.254,0,,,162,,,-1.34,0.377
BAL,AL,1977,719,653,97,0.329,0.393,0.261,0,,,161,,,0.41,0.602
BOS,AL,1977,859,712,97,0.345,0.465,0.281,0,,,161,,,0.913,0.602
CAL,AL,1977,675,695,74,0.324,0.386,0.255,0,,,162,,,-0.123,0.457
CHC,NL,1977,692,739,81,0.33,0.387,0.266,0,,,162,,,-0.29,0.5
CHW,AL,1977,844,771,90,0.344,0.444,0.278,0,,,162,,,0.451,0.556
CIN,NL,1977,802,725,88,0.345,0.436,0.274,0,,,162,,,0.475,0.543
CLE,AL,1977,676,739,71,0.334,0.38,0.269,0,,,161,,,-0.391,0.441
DET,AL,1977,714,751,74,0.318,0.41,0.264,0,,,162,,,-0.228,0.457
HOU,NL,1977,680,650,81,0.32,0.385,0.254,0,,,162,,,0.185,0.5
KCR,AL,1977,822,651,102,0.34,0.436,0.277,1,1,3,162,,,1.056,0.63
LAD,NL,1977,769,582,98,0.336,0.418,0.266,1,4,2,162,,,1.154,0.605
MIL,AL,1977,639,765,67,0.314,0.389,0.258,0,,,162,,,-0.778,0.414
MIN,AL,1977,867,776,84,0.348,0.417,0.282,0,,,161,,,0.565,0.522
MON,NL,1977,665,736,75,0.318,0.402,0.26,0,,,162,,,-0.438,0.463
NYM,NL,1977,587,663,64,0.313,0.346,0.244,0,,,162,,,-0.469,0.395
NYY,AL,1977,831,651,100,0.344,0.444,0.281,1,3,1,162,,,1.111,0.617
OAK,AL,1977,605,749,63,0.308,0.352,0.24,0,,,161,,,-0.894,0.391
PHI,NL,1977,847,668,101,0.346,0.448,0.279,1,2,3,162,,,1.105,0.623
PIT,NL,1977,734,665,96,0.331,0.413,0.274,0,,,162,,,0.426,0.593
SDP,NL,1977,692,834,69,0.324,0.375,0.249,0,,,162,,,-0.877,0.426
SEA,AL,1977,624,855,64,0.312,0.381,0.256,0,,,162,,,-1.426,0.395
SFG,NL,1977,673,711,75,0.323,0.383,0.253,0,,,162,,,-0.235,0.463
STL,NL,1977,737,688,83,0.33,0.388,0.27,0,,,162,,,0.302,0.512
TEX,AL,1977,767,657,94,0.342,0.405,0.27,0,,,162,,,0.679,0.58
TOR,AL,1977,605,822,54,0.316,0.365,0.252,0,,,161,,,-1.348,0.335
ATL,NL,1976,620,700,70,0.32,0.334,0.245,0,,,162,,,-0.494,0.432
BAL,AL,1976,619,598,88,0.31,0.358,0.243,0,,,162,,,0.13,0.543
BOS,AL,1976,716,660,83,0.324,0.402,0.263,0,,,162,,,0.346,0.512
CAL,AL,1976,550,631,76,0.306,0.318,0.235,0,,,162,,,-0.5,0.469
CHC,NL,1976,611,728,75,0.313,0.356,0.251,0,,,162,,,-0.722,0.463
CHW,AL,1976,586,745,64,0.314,0.349,0.255,0,,,161,,,-0.988,0.398
CIN,NL,1976,857,633,102,0.357,0.424,0.28,1,1,1,162,,,1.383,0.63
CLE,AL,1976,615,615,81,0.321,0.359,0.263,0,,,159,,,0,0.509
DET,AL,1976,609,709,74,0.315,0.365,0.257,0,,,161,,,-0.621,0.46
HOU,NL,1976,625,657,80,0.322,0.347,0.256,0,,,162,,,-0.198,0.494
KCR,AL,1976,713,611,90,0.327,0.371,0.269,1,4,3,162,,,0.63,0.556
LAD,NL,1976,608,543,92,0.313,0.349,0.251,0,,,162,,,0.401,0.568
MIL,AL,1976,570,655,66,0.311,0.34,0.246,0,,,161,,,-0.528,0.41
MIN,AL,1976,743,704,85,0.341,0.375,0.274,0,,,162,,,0.241,0.525
MON,NL,1976,531,734,55,0.291,0.34,0.235,0,,,162,,,-1.253,0.34
NYM,NL,1976,615,538,86,0.319,0.352,0.246,0,,,162,,,0.475,0.531
NYY,AL,1976,730,575,97,0.328,0.389,0.269,1,3,2,159,,,0.975,0.61
OAK,AL,1976,686,598,87,0.323,0.361,0.246,0,,,161,,,0.547,0.54
PHI,NL,1976,770,557,101,0.338,0.395,0.272,1,2,3,162,,,1.315,0.623
PIT,NL,1976,708,630,92,0.321,0.391,0.267,0,,,162,,,0.481,0.568
SDP,NL,1976,570,662,73,0.31,0.337,0.247,0,,,162,,,-0.568,0.451
SFG,NL,1976,595,686,74,0.312,0.345,0.246,0,,,162,,,-0.562,0.457
STL,NL,1976,629,671,72,0.323,0.359,0.26,0,,,162,,,-0.259,0.444
TEX,AL,1976,616,652,76,0.321,0.341,0.25,0,,,162,,,-0.222,0.469
ATL,NL,1975,583,739,67,0.313,0.346,0.244,0,,,161,,,-0.969,0.416
BAL,AL,1975,682,553,90,0.326,0.373,0.252,0,,,159,,,0.811,0.566
BOS,AL,1975,796,709,95,0.344,0.417,0.275,1,3,2,160,,,0.544,0.594
CAL,AL,1975,628,723,72,0.322,0.328,0.246,0,,,161,,,-0.59,0.447
CHC,NL,1975,712,827,75,0.338,0.368,0.259,0,,,162,,,-0.71,0.463
CHW,AL,1975,655,703,75,0.331,0.358,0.255,0,,,161,,,-0.298,0.466
CIN,NL,1975,840,586,108,0.353,0.401,0.271,1,1,1,162,,,1.568,0.667
CLE,AL,1975,688,703,79,0.327,0.392,0.261,0,,,159,,,-0.094,0.497
DET,AL,1975,570,786,57,0.301,0.366,0.249,0,,,159,,,-1.358,0.358
HOU,NL,1975,664,711,64,0.32,0.359,0.254,0,,,162,,,-0.29,0.395
KCR,AL,1975,710,649,91,0.333,0.394,0.261,0,,,162,,,0.377,0.562
LAD,NL,1975,648,534,88,0.325,0.365,0.248,0,,,162,,,0.704,0.543
MIL,AL,1975,675,792,68,0.32,0.389,0.25,0,,,162,,,-0.722,0.42
MIN,AL,1975,724,736,76,0.341,0.386,0.271,0,,,159,,,-0.075,0.478
MON,NL,1975,601,690,75,0.317,0.348,0.244,0,,,162,,,-0.549,0.463
NYM,NL,1975,646,625,82,0.319,0.361,0.256,0,,,162,,,0.13,0.506
NYY,AL,1975,681,588,83,0.325,0.382,0.264,0,,,160,,,0.581,0.519
OAK,AL,1975,758,606,98,0.333,0.391,0.254,1,2,3,162,,,0.938,0.605
PHI,NL,1975,735,694,86,0.342,0.402,0.269,0,,,162,,,0.253,0.531
PIT,NL,1975,712,565,92,0.323,0.402,0.263,1,4,3,161,,,0.913,0.571
SDP,NL,1975,552,683,71,0.31,0.335,0.244,0,,,162,,,-0.809,0.438
SFG,NL,1975,659,671,80,0.333,0.365,0.259,0,,,161,,,-0.075,0.497
STL,NL,1975,662,689,82,0.327,0.375,0.273,0,,,163,,,-0.166,0.503
