Team,League,Year,RS,RA,W,OBP,SLG,BA,Playoffs,RankSeason,RankPlayoffs,G,OOBP,OSLG,RDPG,WPG
TEX,AL,1975,714,733,79,0.33,0.371,0.256,0,,,162,,,-0.117,0.488
ATL,NL,1974,661,563,88,0.319,0.363,0.249,0,,,163,,,0.601,0.54
BAL,AL,1974,659,612,91,0.322,0.37,0.256,1,2,3,162,,,0.29,0.562
BOS,AL,1974,696,661,84,0.333,0.377,0.264,0,,,162,,,0.216,0.519
CAL,AL,1974,618,657,68,0.321,0.356,0.254,0,,,163,,,-0.239,0.417
CHC,NL,1974,669,826,66,0.327,0.365,0.251,0,,,162,,,-0.969,0.407
CHW,AL,1974,684,721,80,0.33,0.389,0.268,0,,,163,,,-0.227,0.491
CIN,NL,1974,776,631,98,0.343,0.394,0.26,0,,,163,,,0.89,0.601
CLE,AL,1974,662,694,77,0.311,0.37,0.255,0,,,162,,,-0.198,0.475
DET,AL,1974,620,768,72,0.303,0.366,0.247,0,,,162,,,-0.914,0.444
HOU,NL,1974,653,632,81,0.322,0.378,0.263,0,,,162,,,0.13,0.5
KCR,AL,1974,667,662,77,0.327,0.364,0.259,0,,,162,,,0.031,0.475
LAD,NL,1974,798,561,102,0.342,0.401,0.272,1,1,2,162,,,1.463,0.63
MIL,AL,1974,647,660,76,0.309,0.369,0.244,0,,,162,,,-0.08,0.469
MIN,AL,1974,673,669,82,0.336,0.378,0.272,0,,,163,,,0.025,0.503
MON,NL,1974,662,657,79,0.335,0.35,0.254,0,,,161,,,0.031,0.491
NYM,NL,1974,572,646,71,0.311,0.329,0.235,0,,,162,,,-0.457,0.438
NYY,AL,1974,671,623,89,0.324,0.368,0.263,0,,,162,,,0.296,0.549
OAK,AL,1974,689,551,90,0.321,0.373,0.247,1,3,1,162,,,0.852,0.556
PHI,NL,1974,676,701,80,0.32,0.373,0.261,0,,,162,,,-0.154,0.494
PIT,NL,1974,751,657,88,0.335,0.391,0.274,1,4,3,162,,,0.58,0.543
SDP,NL,1974,541,830,60,0.302,0.33,0.229,0,,,162,,,-1.784,0.37
SFG,NL,1974,634,723,72,0.322,0.358,0.252,0,,,162,,,-0.549,0.444
STL,NL,1974,677,643,86,0.331,0.365,0.265,0,,,161,,,0.211,0.534
TEX,AL,1974,690,698,83,0.336,0.377,0.272,0,,,161,,,-0.05,0.516
ATL,NL,1973,799,774,76,0.339,0.427,0.266,0,,,162,,,0.154,0.469
BAL,AL,1973,754,561,97,0.345,0.389,0.266,1,2,3,162,,,1.191,0.599
BOS,AL,1973,738,647,89,0.338,0.401,0.267,0,,,162,,,0.562,0.549
CAL,AL,1973,629,657,79,0.318,0.348,0.253,0,,,162,,,-0.173,0.488
CHC,NL,1973,614,655,77,0.32,0.357,0.247,0,,,161,,,-0.255,0.478
CHW,AL,1973,652,705,77,0.324,0.372,0.256,0,,,162,,,-0.327,0.475
CIN,NL,1973,741,621,99,0.332,0.383,0.254,1,1,3,162,,,0.741,0.611
CLE,AL,1973,680,826,71,0.315,0.387,0.256,0,,,162,,,-0.901,0.438
DET,AL,1973,642,674,85,0.32,0.39,0.254,0,,,162,,,-0.198,0.525
HOU,NL,1973,681,672,82,0.312,0.376,0.251,0,,,162,,,0.056,0.506
KCR,AL,1973,755,752,88,0.339,0.381,0.261,0,,,162,,,0.019,0.543
LAD,NL,1973,675,565,95,0.323,0.371,0.263,0,,,162,,,0.679,0.586
MIL,AL,1973,708,731,74,0.325,0.388,0.253,0,,,162,,,-0.142,0.457
MIN,AL,1973,738,692,81,0.342,0.393,0.27,0,,,162,,,0.284,0.5
MON,NL,1973,668,702,79,0.34,0.364,0.251,0,,,162,,,-0.21,0.488
NYM,NL,1973,608,588,82,0.315,0.338,0.246,1,4,2,161,,,0.124,0.509
NYY,AL,1973,641,610,80,0.322,0.378,0.261,0,,,162,,,0.191,0.494
OAK,AL,1973,758,615,94,0.333,0.389,0.26,1,3,1,162,,,0.883,0.58
PHI,NL,1973,642,717,71,0.31,0.371,0.249,0,,,162,,,-0.463,0.438
PIT,NL,1973,704,693,80,0.315,0.405,0.261,0,,,162,,,0.068,0.494
SDP,NL,1973,548,770,60,0.296,0.351,0.244,0,,,162,,,-1.37,0.37
SFG,NL,1973,739,702,88,0.335,0.407,0.262,0,,,162,,,0.228,0.543
STL,NL,1973,643,603,81,0.325,0.357,0.259,0,,,162,,,0.247,0.5
TEX,AL,1973,619,844,57,0.318,0.361,0.255,0,,,162,,,-1.389,0.352
ATL,NL,1971,643,699,82,0.312,0.385,0.257,0,,,162,,,-0.346,0.506
BAL,AL,1971,742,530,101,0.347,0.398,0.261,1,1,2,158,,,1.342,0.639
BOS,AL,1971,691,667,85,0.322,0.397,0.252,0,,,162,,,0.148,0.525
CAL,AL,1971,511,576,76,0.29,0.329,0.231,0,,,162,,,-0.401,0.469
CHC,NL,1971,637,648,83,0.325,0.378,0.258,0,,,162,,,-0.068,0.512
CHW,AL,1971,617,597,79,0.325,0.373,0.25,0,,,162,,,0.123,0.488
CIN,NL,1971,586,581,79,0.3,0.366,0.241,0,,,162,,,0.031,0.488
CLE,AL,1971,543,747,60,0.3,0.342,0.238,0,,,162,,,-1.259,0.37
DET,AL,1971,701,645,91,0.325,0.405,0.254,0,,,162,,,0.346,0.562
HOU,NL,1971,585,567,79,0.302,0.34,0.24,0,,,162,,,0.111,0.488
KCR,AL,1971,603,566,85,0.313,0.353,0.25,0,,,161,,,0.23,0.528
LAD,NL,1971,663,587,89,0.325,0.37,0.266,0,,,162,,,0.469,0.549
MIL,AL,1971,534,609,69,0.304,0.329,0.229,0,,,161,,,-0.466,0.429
MIN,AL,1971,654,670,74,0.323,0.372,0.26,0,,,160,,,-0.1,0.463
MON,NL,1971,622,729,71,0.322,0.343,0.246,0,,,162,,,-0.66,0.438
NYM,NL,1971,588,550,83,0.319,0.351,0.249,0,,,162,,,0.235,0.512
NYY,AL,1971,648,641,81,0.328,0.36,0.254,0,,,162,,,0.043,0.5
OAK,AL,1971,691,564,101,0.321,0.384,0.252,1,1,3,161,,,0.789,0.627
PHI,NL,1971,558,688,67,0.298,0.35,0.233,0,,,162,,,-0.802,0.414
PIT,NL,1971,788,599,97,0.33,0.416,0.274,1,2,1,162,,,1.167,0.599
SDP,NL,1971,486,610,61,0.293,0.332,0.233,0,,,161,,,-0.77,0.379
SFG,NL,1971,706,644,90,0.329,0.378,0.247,1,3,3,162,,,0.383,0.556
STL,NL,1971,739,699,90,0.338,0.385,0.275,0,,,163,,,0.245,0.552
WSA,AL,1971,537,660,63,0.307,0.326,0.23,0,,,159,,,-0.774,0.396
ATL,NL,1970,736,772,76,0.334,0.404,0.27,0,,,162,,,-0.222,0.469
BAL,AL,1970,792,574,108,0.344,0.401,0.257,1,1,1,162,,,1.346,0.667
BOS,AL,1970,786,722,87,0.335,0.428,0.262,0,,,162,,,0.395,0.537
CAL,AL,1970,631,630,86,0.309,0.363,0.251,0,,,162,,,0.006,0.531
CHC,NL,1970,806,679,84,0.333,0.415,0.259,0,,,162,,,0.784,0.519
CHW,AL,1970,633,822,56,0.315,0.362,0.253,0,,,162,,,-1.167,0.346
CIN,NL,1970,775,681,102,0.336,0.436,0.27,1,2,2,162,,,0.58,0.63
CLE,AL,1970,649,675,76,0.314,0.394,0.249,0,,,162,,,-0.16,0.469
DET,AL,1970,666,731,79,0.322,0.374,0.238,0,,,162,,,-0.401,0.488
HOU,NL,1970,744,763,79,0.332,0.391,0.259,0,,,162,,,-0.117,0.488
KCR,AL,1970,611,705,65,0.309,0.348,0.244,0,,,162,,,-0.58,0.401
LAD,NL,1970,749,684,87,0.334,0.382,0.27,0,,,161,,,0.404,0.54
MIL,AL,1970,613,751,65,0.319,0.358,0.242,0,,,163,,,-0.847,0.399
MIN,AL,1970,744,605,98,0.327,0.403,0.262,1,3,3,162,,,0.858,0.605
MON,NL,1970,687,807,73,0.323,0.365,0.237,0,,,162,,,-0.741,0.451
NYM,NL,1970,695,630,83,0.333,0.37,0.249,0,,,162,,,0.401,0.512
NYY,AL,1970,680,612,93,0.324,0.365,0.251,0,,,163,,,0.417,0.571
OAK,AL,1970,678,593,89,0.325,0.392,0.249,0,,,162,,,0.525,0.549
PHI,NL,1970,594,730,73,0.305,0.356,0.238,0,,,161,,,-0.845,0.453
PIT,NL,1970,729,664,89,0.325,0.406,0.27,1,4,3,162,,,0.401,0.549
SDP,NL,1970,681,788,63,0.312,0.391,0.246,0,,,162,,,-0.66,0.389
SFG,NL,1970,831,826,86,0.351,0.409,0.262,0,,,162,,,0.031,0.531
STL,NL,1970,744,747,76,0.331,0.379,0.263,0,,,162,,,-0.019,0.469
WSA,AL,1970,626,689,70,0.321,0.358,0.238,0,,,162,,,-0.389,0.432
ATL,NL,1969,691,631,93,0.321,0.38,0.258,1,4,3,162,,,0.37,0.574
BAL,AL,1969,779,517,109,0.343,0.414,0.265,1,1,2,162,,,1.617,0.673
BOS,AL,1969,743,736,87,0.333,0.415,0.251,0,,,162,,,0.043,0.537
CAL,AL,1969,528,652,71,0.3,0.319,0.23,0,,,163,,,-0.761,0.436
CHC,NL,1969,720,611,92,0.323,0.384,0.253,0,,,163,,,0.669,0.564
CHW,AL,1969,625,723,68,0.32,0.357,0.247,0,,,162,,,-0.605,0.42
CIN,NL,1969,798,768,89,0.335,0.422,0.277,0,,,163,,,0.184,0.546
CLE,AL,1969,573,717,62,0.307,0.345,0.237,0,,,161,,,-0.894,0.385
DET,AL,1969,701,601,90,0.316,0.387,0.242,0,,,162,,,0.617,0.556
HOU,NL,1969,676,668,81,0.33,0.352,0.24,0,,,162,,,0.049,0.5
KCR,AL,1969,586,688,69,0.309,0.338,0.24,0,,,163,,,-0.626,0.423
LAD,NL,1969,645,561,85,0.315,0.359,0.254,0,,,162,,,0.519,0.525
MIN,AL,1969,790,618,97,0.34,0.408,0.268,1,3,3,162,,,1.062,0.599
MON,NL,1969,582,791,52,0.31,0.359,0.24,0,,,162,,,-1.29,0.321
NYM,NL,1969,632,541,100,0.311,0.351,0.242,1,2,1,162,,,0.562,0.617
NYY,AL,1969,562,587,80,0.308,0.344,0.235,0,,,162,,,-0.154,0.494
OAK,AL,1969,740,678,88,0.329,0.376,0.249,0,,,162,,,0.383,0.543
PHI,NL,1969,645,745,63,0.312,0.372,0.241,0,,,162,,,-0.617,0.389
PIT,NL,1969,725,652,88,0.334,0.398,0.277,0,,,162,,,0.451,0.543
SDP,NL,1969,468,746,52,0.285,0.329,0.225,0,,,162,,,-1.716,0.321
SEP,AL,1969,639,799,64,0.316,0.346,0.234,0,,,163,,,-0.982,0.393
SFG,NL,1969,713,636,90,0.334,0.361,0.242,0,,,162,,,0.475,0.556
STL,NL,1969,595,540,87,0.316,0.359,0.253,0,,,162,,,0.34,0.537
WSA,AL,1969,694,644,86,0.33,0.378,0.251,0,,,162,,,0.309,0.531
ATL,NL,1968,514,549,81,0.307,0.339,0.252,0,,,163,,,-0.215,0.497
BAL,AL,1968,579,497,91,0.304,0.352,0.225,0,,,162,,,0.506,0.562
BOS,AL,1968,614,611,86,0.313,0.352,0.236,0,,,162,,,0.019,0.531
CAL,AL,1968,498,615,67,0.291,0.318,0.227,0,,,162,,,-0.722,0.414
CHC,NL,1968,612,611,84,0.298,0.366,0.242,0,,,163,,,0.006,0.515
CHW,AL,1968,463,527,67,0.284,0.311,0.228,0,,,162,,,-0.395,0.414
CIN,NL,1968,690,673,83,0.32,0.389,0.273,0,,,163,,,0.104,0.509
CLE,AL,1968,516,504,86,0.293,0.327,0.234,0,,,162,,,0.074,0.531
DET,AL,1968,671,492,103,0.307,0.385,0.235,1,1,1,164,,,1.091,0.628
HOU,NL,1968,510,588,72,0.298,0.317,0.231,0,,,162,,,-0.481,0.444
LAD,NL,1968,470,509,76,0.289,0.319,0.23,0,,,162,,,-0.241,0.469
MIN,AL,1968,562,546,79,0.299,0.35,0.237,0,,,162,,,0.099,0.488
NYM,NL,1968,473,499,73,0.281,0.315,0.228,0,,,163,,,-0.16,0.448
NYY,AL,1968,536,531,83,0.292,0.318,0.214,0,,,164,,,0.03,0.506
OAK,AL,1968,569,544,82,0.304,0.343,0.24,0,,,163,,,0.153,0.503
PHI,NL,1968,543,615,76,0.294,0.333,0.233,0,,,162,,,-0.444,0.469
PIT,NL,1968,583,532,80,0.306,0.343,0.252,0,,,163,,,0.313,0.491
SFG,NL,1968,599,529,88,0.307,0.341,0.239,0,,,163,,,0.429,0.54
STL,NL,1968,583,472,97,0.298,0.346,0.249,1,2,2,162,,,0.685,0.599
WSA,AL,1968,524,665,65,0.287,0.336,0.224,0,,,161,,,-0.876,0.404
ATL,NL,1967,631,640,77,0.307,0.372,0.24,0,,,162,,,-0.056,0.475
BAL,AL,1967,654,592,76,0.31,0.372,0.24,0,,,161,,,0.385,0.472
BOS,AL,1967,722,614,92,0.321,0.395,0.255,1,2,2,162,,,0.667,0.568
CAL,AL,1967,567,587,84,0.301,0.349,0.238,0,,,161,,,-0.124,0.522
CHC,NL,1967,702,624,87,0.316,0.378,0.251,0,,,162,,,0.481,0.537
CHW,AL,1967,531,491,89,0.291,0.32,0.225,0,,,162,,,0.247,0.549
CIN,NL,1967,604,563,87,0.297,0.372,0.248,0,,,162,,,0.253,0.537
CLE,AL,1967,559,613,75,0.293,0.359,0.235,0,,,162,,,-0.333,0.463
DET,AL,1967,683,587,91,0.325,0.376,0.243,0,,,163,,,0.589,0.558
HOU,NL,1967,626,742,69,0.317,0.364,0.249,0,,,162,,,-0.716,0.426
KCA,AL,1967,533,660,62,0.296,0.33,0.233,0,,,161,,,-0.789,0.385
LAD,NL,1967,519,595,73,0.301,0.332,0.236,0,,,162,,,-0.469,0.451
MIN,AL,1967,671,590,91,0.309,0.369,0.24,0,,,164,,,0.494,0.555
NYM,NL,1967,498,672,61,0.288,0.325,0.238,0,,,162,,,-1.074,0.377
NYY,AL,1967,522,621,72,0.296,0.317,0.225,0,,,163,,,-0.607,0.442
PHI,NL,1967,612,581,82,0.313,0.357,0.242,0,,,162,,,0.191,0.506
PIT,NL,1967,679,693,81,0.324,0.38,0.277,0,,,163,,,-0.086,0.497
SFG,NL,1967,652,551,91,0.313,0.372,0.245,0,,,162,,,0.623,0.562
STL,NL,1967,695,557,101,0.32,0.379,0.263,1,1,1,161,,,0.857,0.627
WSA,AL,1967,550,637,76,0.288,0.326,0.223,0,,,161,,,-0.54,0.472
ATL,NL,1966,782,683,85,0.326,0.424,0.263,0,,,163,,,0.607,0.521
BAL,AL,1966,755,601,97,0.324,0.409,0.258,1,1,1,160,,,0.963,0.606
BOS,AL,1966,655,731,72,0.31,0.376,0.24,0,,,162,,,-0.469,0.444
CAL,AL,1966,604,643,80,0.303,0.354,0.232,0,,,162,,,-0.241,0.494
CHC,NL,1966,644,809,59,0.313,0.38,0.254,0,,,162,,,-1.019,0.364
CHW,AL,1966,574,517,83,0.297,0.331,0.231,0,,,163,,,0.35,0.509
CIN,NL,1966,692,702,76,0.309,0.395,0.26,0,,,160,,,-0.063,0.475
CLE,AL,1966,574,586,81,0.297,0.36,0.237,0,,,162,,,-0.074,0.5
DET,AL,1966,719,698,88,0.321,0.406,0.251,0,,,162,,,0.13,0.543
HOU,NL,1966,612,695,72,0.318,0.365,0.255,0,,,163,,,-0.509,0.442
KCA,AL,1966,564,648,74,0.294,0.337,0.236,0,,,160,,,-0.525,0.463
LAD,NL,1966,606,490,95,0.314,0.362,0.256,1,2,2,162,,,0.716,0.586
MIN,AL,1966,663,581,89,0.316,0.382,0.249,0,,,162,,,0.506,0.549
NYM,NL,1966,587,761,66,0.301,0.342,0.239,0,,,161,,,-1.081,0.41
NYY,AL,1966,611,612,70,0.299,0.374,0.235,0,,,160,,,-0.006,0.438
PHI,NL,1966,696,640,87,0.322,0.378,0.258,0,,,162,,,0.346,0.537
PIT,NL,1966,759,641,92,0.329,0.428,0.279,0,,,162,,,0.728,0.568
SFG,NL,1966,675,626,93,0.303,0.392,0.248,0,,,161,,,0.304,0.578
STL,NL,1966,571,577,83,0.298,0.368,0.251,0,,,162,,,-0.037,0.512
WSA,AL,1966,557,659,71,0.295,0.355,0.234,0,,,159,,,-0.642,0.447
BAL,AL,1965,641,578,94,0.307,0.363,0.238,0,,,162,,,0.389,0.58
BOS,AL,1965,669,791,62,0.327,0.4,0.251,0,,,162,,,-0.753,0.383
CAL,AL,1965,527,569,75,0.297,0.341,0.239,0,,,162,,,-0.259,0.463
CHC,NL,1965,635,723,72,0.307,0.358,0.238,0,,,164,,,-0.537,0.439
CHW,AL,1965,647,555,95,0.315,0.364,0.246,0,,,162,,,0.568,0.586
CIN,NL,1965,825,704,89,0.339,0.439,0.273,0,,,162,,,0.747,0.549
CLE,AL,1965,663,613,87,0.315,0.379,0.25,0,,,162,,,0.309,0.537
DET,AL,1965,680,602,89,0.312,0.374,0.238,0,,,162,,,0.481,0.549
HOU,NL,1965,569,711,65,0.305,0.34,0.237,0,,,162,,,-0.877,0.401
KCA,AL,1965,585,755,59,0.309,0.358,0.24,0,,,162,,,-1.049,0.364
LAD,NL,1965,608,521,97,0.312,0.335,0.245,1,2,1,162,,,0.537,0.599
MIN,AL,1965,774,600,102,0.324,0.399,0.254,1,1,2,162,,,1.074,0.63
MLN,NL,1965,708,633,86,0.31,0.416,0.256,0,,,162,,,0.463,0.531
NYM,NL,1965,495,752,50,0.277,0.327,0.221,0,,,164,,,-1.567,0.305
NYY,AL,1965,611,604,77,0.299,0.364,0.235,0,,,162,,,0.043,0.475
PHI,NL,1965,654,667,85,0.313,0.384,0.25,0,,,162,,,-0.08,0.525
PIT,NL,1965,675,580,90,0.317,0.382,0.265,0,,,163,,,0.583,0.552
SFG,NL,1965,682,593,95,0.313,0.385,0.252,0,,,163,,,0.546,0.583
STL,NL,1965,707,674,80,0.314,0.371,0.254,0,,,162,,,0.204,0.494
WSA,AL,1965,591,721,70,0.304,0.35,0.228,0,,,162,,,-0.802,0.432
BAL,AL,1964,679,567,97,0.316,0.387,0.248,0,,,163,,,0.687,0.595
BOS,AL,1964,688,793,72,0.322,0.416,0.258,0,,,162,,,-0.648,0.444
CHC,NL,1964,649,724,76,0.314,0.39,0.251,0,,,162,,,-0.463,0.469
CHW,AL,1964,642,501,98,0.32,0.353,0.247,0,,,162,,,0.87,0.605
CIN,NL,1964,660,566,92,0.308,0.372,0.249,0,,,163,,,0.577,0.564
CLE,AL,1964,689,693,79,0.312,0.38,0.247,0,,,164,,,-0.024,0.482
DET,AL,1964,699,678,85,0.319,0.395,0.253,0,,,163,,,0.129,0.521
HOU,NL,1964,495,628,66,0.285,0.315,0.229,0,,,162,,,-0.821,0.407
KCA,AL,1964,621,836,57,0.311,0.379,0.239,0,,,163,,,-1.319,0.35
LAA,AL,1964,544,551,82,0.304,0.344,0.242,0,,,162,,,-0.043,0.506
LAD,NL,1964,614,572,80,0.305,0.34,0.25,0,,,164,,,0.256,0.488
MIN,AL,1964,737,678,79,0.322,0.427,0.252,0,,,163,,,0.362,0.485
MLN,NL,1964,803,744,88,0.333,0.418,0.272,0,,,162,,,0.364,0.543
NYM,NL,1964,569,776,53,0.296,0.348,0.246,0,,,163,,,-1.27,0.325
NYY,AL,1964,730,577,99,0.317,0.387,0.253,1,1,2,164,,,0.933,0.604
PHI,NL,1964,693,632,92,0.315,0.391,0.258,0,,,162,,,0.377,0.568
PIT,NL,1964,663,636,80,0.315,0.389,0.264,0,,,162,,,0.167,0.494
SFG,NL,1964,656,587,90,0.31,0.382,0.246,0,,,162,,,0.426,0.556
STL,NL,1964,715,652,93,0.324,0.392,0.272,1,2,1,162,,,0.389,0.574
WSA,AL,1964,578,733,62,0.299,0.348,0.231,0,,,162,,,-0.957,0.383
BAL,AL,1963,644,621,86,0.31,0.38,0.249,0,,,162,,,0.142,0.531
BOS,AL,1963,666,704,76,0.312,0.4,0.252,0,,,161,,,-0.236,0.472
CHC,NL,1963,570,578,82,0.297,0.363,0.238,0,,,162,,,-0.049,0.506
CHW,AL,1963,683,544,94,0.323,0.365,0.25,0,,,162,,,0.858,0.58
CIN,NL,1963,648,594,86,0.31,0.371,0.246,0,,,162,,,0.333,0.531
CLE,AL,1963,635,702,79,0.301,0.381,0.239,0,,,162,,,-0.414,0.488
DET,AL,1963,700,703,79,0.327,0.382,0.252,0,,,162,,,-0.019,0.488
HOU,NL,1963,464,640,66,0.283,0.301,0.22,0,,,162,,,-1.086,0.407
KCA,AL,1963,615,704,73,0.313,0.353,0.247,0,,,162,,,-0.549,0.451
LAA,AL,1963,597,660,70,0.309,0.354,0.25,0,,,161,,,-0.391,0.435
LAD,NL,1963,640,550,99,0.309,0.357,0.251,1,2,1,163,,,0.552,0.607
MIN,AL,1963,767,602,91,0.325,0.43,0.255,0,,,161,,,1.025,0.565
MLN,NL,1963,677,603,84,0.312,0.37,0.244,0,,,163,,,0.454,0.515
NYM,NL,1963,501,774,51,0.285,0.315,0.219,0,,,162,,,-1.685,0.315
NYY,AL,1963,714,547,104,0.309,0.403,0.252,1,1,2,161,,,1.037,0.646
PHI,NL,1963,642,578,87,0.306,0.381,0.252,0,,,162,,,0.395,0.537
PIT,NL,1963,567,595,74,0.309,0.359,0.25,0,,,162,,,-0.173,0.457
SFG,NL,1963,725,641,88,0.316,0.414,0.258,0,,,162,,,0.519,0.543
STL,NL,1963,747,628,93,0.326,0.403,0.271,0,,,162,,,0.735,0.574
WSA,AL,1963,578,812,56,0.293,0.351,0.227,0,,,162,,,-1.444,0.346
BAL,AL,1962,652,680,77,0.314,0.387,0.248,0,,,162,,,-0.173,0.475
BOS,AL,1962,707,756,76,0.324,0.403,0.258,0,,,160,,,-0.306,0.475
CHC,NL,1962,632,827,59,0.317,0.377,0.253,0,,,162,,,-1.204,0.364
CHW,AL,1962,707,658,85,0.334,0.372,0.257,0,,,162,,,0.302,0.525
CIN,NL,1962,802,685,98,0.332,0.417,0.27,0,,,162,,,0.722,0.605
CLE,AL,1962,682,745,80,0.312,0.388,0.245,0,,,162,,,-0.389,0.494
DET,AL,1962,758,692,85,0.33,0.411,0.248,0,,,161,,,0.41,0.528
HOU,NL,1962,592,717,64,0.31,0.351,0.246,0,,,162,,,-0.772,0.395
KCA,AL,1962,745,837,72,0.332,0.386,0.263,0,,,162,,,-0.568,0.444
LAA,AL,1962,718,706,86,0.325,0.38,0.25,0,,,162,,,0.074,0.531
LAD,NL,1962,842,697,102,0.337,0.4,0.268,0,,,165,,,0.879,0.618
MIN,AL,1962,798,713,91,0.338,0.412,0.26,0,,,163,,,0.521,0.558
MLN,NL,1962,730,665,86,0.326,0.403,0.252,0,,,162,,,0.401,0.531
NYM,NL,1962,617,948,40,0.318,0.361,0.24,0,,,161,,,-2.056,0.248
NYY,AL,1962,817,680,96,0.337,0.426,0.267,1,2,1,162,,,0.846,0.593
PHI,NL,1962,705,759,81,0.33,0.39,0.26,0,,,161,,,-0.335,0.503
PIT,NL,1962,706,626,93,0.321,0.394,0.268,0,,,161,,,0.497,0.578
SFG,NL,1962,878,690,103,0.341,0.441,0.278,1,1,2,165,,,1.139,0.624
STL,NL,1962,774,664,84,0.335,0.394,0.271,0,,,163,,,0.675,0.515
WSA,AL,1962,599,716,60,0.308,0.373,0.25,0,,,162,,,-0.722,0.37
